Size,Site,Rainfall_min,Rainfall_max,Category,normd15N
-1.165099392,HAM,-0.217010647,-0.016751787,barley,7.993836944
-1.165099392,HAM,-0.217010647,-0.016751787,barley,12.53842401
-1.165099392,HAM,-0.217010647,-0.016751787,wheat,5.446516933
-1.165099392,HAM,-0.217010647,-0.016751787,barley,6.804580858
-1.165099392,HAM,-0.217010647,-0.016751787,barley,7.176756936
-1.165099392,HAM,-0.217010647,-0.016751787,barley,12.19387697
-1.165099392,HAM,-0.217010647,-0.016751787,wheat,11.3145245
-1.165099392,HAM,-0.217010647,-0.016751787,barley,10.94496697
-1.165099392,HAM,-0.217010647,-0.016751787,wheat,6.389655353
-1.165099392,HAM,-0.217010647,-0.016751787,wheat,8.301635364
-1.165099392,HAM,-0.217010647,-0.016751787,barley,9.912773565
-1.165099392,HAM,-0.217010647,-0.016751787,barley,6.644575967
-1.165099392,HAM,-0.217010647,-0.016751787,wheat,5.515855885
-1.165099392,HAM,-0.217010647,-0.016751787,barley,5.171356517
-1.165099392,HAM,-0.217010647,-0.016751787,barley,4.391011415
-0.235921401,TBR,-0.604953316,-0.31678014,barley,7.810132104
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,4.685378409
-0.235921401,TBR,-0.604953316,-0.31678014,barley,5.342510751
-0.235921401,TBR,-0.604953316,-0.31678014,barley,7.046326069
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,7.421972241
-0.235921401,TBR,-0.604953316,-0.31678014,barley,5.985461044
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,4.600118219
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,3.98218034
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.809501362
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.35948833
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.821324857
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.374850488
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.687075565
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.693163945
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.557724132
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.366362128
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.358103971
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.7460893
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.310029523
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.455780405
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.101478749
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.361933613
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.567438576
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.299498927
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.286333566
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.537160884
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.659770192
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.657557688
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.673034706
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.644085819
